行业,批次,不限专业,公司名称,学历,岗位更新日期,官方公告,岗位,网申入口,含免笔试,截止时间,企业类型,招聘对象,备注,工作城市
"制造业,新能源",春招,0,中煤西北能源化工,"本科,硕士,博士",2026/04/07,https://mp.weixin.qq.com/s/gE3_xY71C17YHWd0rCunSg,智能化/信息化岗，采煤掘进岗，新能源操作岗，井下检修电工/钳工岗，地质、防治水岗,https://zhaopinh5.chinacoal.com/gateWay?s=IEwNM5lbYASz5EomTawcar2A%2B%2BdGA8hEkVzq9ldbKDdAQRl0dCnSpvPiUSPSkNQc%2FUyqUiLi0OgxHLZTJTb4y4alNUvy3wm02%2BIFSR5kY%2F0%3D,0,2026-04-20,央国企,"2025, 2026","有六险二金,包食宿,各种补贴,总包15万-22万","榆林, 鄂尔多斯"
"制造业,新能源",春招,0,航微能源,"大专,本科,硕士,博士",2026/04/07,http://mp.weixin.qq.com/s?__biz=MzU4NzcyNjcyNw%3D%3D&idx=1&mid=2247490731&sn=5b85b4de42c40cf103360d2770eaf6b8,工艺，测试，电机，装配，质检，售后技术，电力系统，机电一体化，电气自动化，机械制造及自动化，电气工程及自动化，电力电子与电力传动,https://erp.aemesc.com/index.html#/resumeDelivery,1,招满即止,民企,2026,"大专起投,六险一金,提供免费午餐,全勤奖励及工龄补贴,年终奖金,8k-15k*13",成都
教育,春招,0,浙江新东方,"本科,硕士,博士",2026/04/07,https://mp.weixin.qq.com/s/hi5Y92cQFw1Lu1VK328bNw,塔尖(双语)教师，创客教师，博文教师，益智教师，学习管理师，答疑班主任，综合托管教师，高中班课教师，学习机主讲教师，高中一对一教师,https://mp.weixin.qq.com/s/hi5Y92cQFw1Lu1VK328bNw,0,招满即止,民企,2026,"C9学子首年保底20万, 考公研编上岸无责解约, 六险一金, 报班优惠, 10k-35k*12","宁波, 杭州, 温州, 湖州, 绍兴, 金华"
航天航空,春招,0,航天科工六院红岗公司,"大专,本科",2026/04/07,http://mp.weixin.qq.com/s/egMAjyYRplC-X88BfPvrPg,热处理操作岗，智能制造操作岗，机械制造操作岗，复合材料成型操作岗,https://shortapis.com/xzpro/?target64=a2dseWhncmw2NjZAMTYzLmNvbQ==,0,招满即止,央国企,2026,"解决呼和浩特落户,五险两金,免费公寓及就餐,单身及取暖补贴,8k~12k*14",呼和浩特
教育,春招,0,禹城外国语实验高中,"本科,硕士,博士",2026/04/07,https://mp.weixin.qq.com/s/S2nhEraaVt5rr_tUz02I5w,书法教师，俄语教师，化学教师，历史教师，地理教师，政治教师，数学教师，日语教师，物理教师，生物教师，英语教师，语文教师，专职辅导员，计算机教师,https://shortapis.com/xzpro/?target64=eWN3Z3lzeWd6QDE2My5jb20=,1,招满即止,民企,2026,"办理事业单位保险,缴纳五险两金,提供宿舍,5k+及专项补贴","德州, 禹城"
银行,春招,0,柳州银行,"本科,硕士,博士",2026/04/07,http://mp.weixin.qq.com/s?__biz=MzA5NzY4NTUxNw%3D%3D&idx=1&mid=2652792834&sn=8a183b2eea8edd002bd708995006919c,银行岗位,https://mp.weixin.qq.com/mp/wappoc_appmsgcaptcha?poc_token=HJy61WmjhIWSW4nUUlLRVtsNdpxV9Ps-33hW2Dqd&target_url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA5NzY4NTUxNw%253D%253D%26idx%3D1%26mid%3D2652792834%26sn%3D8a183b2eea8edd002bd708995006919c,0,招满即止,央国企,2026,"有六险二金, 各种补贴, 10k-15k*14",柳州
"金融,制造业,交通运输",春招,0,北部湾港集团,"本科,硕士,博士",2026/04/07,http://mp.weixin.qq.com/s?__biz=Mzg2Mzg2NTgxOQ%3D%3D&idx=4&mid=2247616802&sn=cd16a25e369f3672fa83ed034023e79c,储备类人才岗，技术序列岗位，技能序列岗位，管理序列岗位,https://zhaopin.bbwgw.com/,0,2026-04-12,央国企,2026,"广西大型国企,五险一金及企业年金,提供住宿或租房补贴,总包10万-15万","北海, 南宁, 柳州, 梧州, 海外, 钦州, 防城港"
新能源,春招,0,聚变新能,"硕士,博士",2026/04/07,http://mp.weixin.qq.com/s?__biz=Mzk1Nzc3NDQ4NQ%3D%3D&idx=1&mid=2247485622&sn=100b7e83c9fb8ec1722cd33b3f5e4225,工程技术类，职能管理类,https://shortapis.com/xzpro/?target64=cmVjcnVpdGluZ0BqYnhuYWguY29t,0,招满即止,央国企,2026,"硕士及以上, 七险二金, 博士后补贴10-30万, 留肥津贴50万, 具有市场竞争力的薪酬",合肥
电商,日常实习,0,凡岛,"本科,硕士,博士",2026/04/07,https://mp.weixin.qq.com/s/GzznrZqwhUwlF2GhLUS4CA,"营销策划实习生,电商实习生,直播运营实习生,行政实习生,市场实习生,财务实习生,投资实习生,研发实习生,平面设计实习生,包装设计实习生,供应实习生,日化产品经理实习生,人资实习生,人才发展实习生,总监助理实习生,干部管理实习生",https://job.fandow.com/schoolRecruitmentNew,0,招满即止,民企,2026届,提供租房补贴与免费三餐，实习满2个月即可申请转正答辩，不限专业且设有1V1导师带教。,广州
咨询,暑期实习,0,霖仕咨询,"本科,硕士",2026/04/07,http://mp.weixin.qq.com/s/YmXK0Gd7oFmWSS-JZtlVTQ,猎头顾问实习生,https://shortapis.com/xzpro/?target64=cmVjcnVpdGluZ0BzaGVmZnJpbndlaXNzLmNvbQ==,0,招满即止,民企,2026届、2027届,"表现优异可转正, 需实习4个月以上且暑期全勤, 深度参与500强高管寻访项目。",上海
制造业,春招补录,0,合力叉车,"本科,硕士,博士",2026/04/07,https://mp.weixin.qq.com/s/G0P-7S9a4bP-g9aLs-mYXw,信息化，产品设计，价格管理，采购合规，产品设计(驻外方向)，事业部技术，高级产品设计，零部件产品销售，产品销售及营销管理，安全及职业健康管理,https://shortapis.com/xzpro/?target64=NjgwMDg5NjdAaGVsaWNoaW5hLmNvbQ==,0,招满即止,央国企,2026,"安徽省属重点国企,六险二金,单身公寓,餐补,8k-15k*14",合肥
金融,春招,0,国元保险,"本科,硕士,博士",2026/04/07,http://mp.weixin.qq.com/s/iA_SXHMWps_N5dXvIGiN4w,工作人员,https://t.zhaopin.com/07Lr9V,0,2026-04-10,央国企,"2024, 2025, 2026","有六险二金,各种补贴,年终奖,总包12万~18万",安徽
教育,春招,0,台州康桥学校,"大专,本科,硕士,博士",2026/04/07,https://mp.weixin.qq.com/s/8_Tvl1qIfPkj3H2wGC9M4g,A-level双语教师，俄语教师，助理教师，地理教师，实习教师，政治教师，教育顾问，数学教师，日语教师，物理教师，社会教师，科学教师，英语教师，语文教师，雅思教师,https://shortapis.com/xzpro/?target64=anVkeV9jaGVuQGtjaXN0ei5jb20=,0,招满即止,民企,"2025, 2026","优秀毕业生年薪12-20万, 提供五险一金、工作餐及子女入学优惠, 10k~16k*12",台州
"制造业,新能源",春招,0,晋飞碳纤,"本科,硕士,博士",2026/04/07,http://mp.weixin.qq.com/s?__biz=MjM5ODU5Njc0Ng%3D%3D&idx=1&mid=2650257183&sn=1f86f69fb2dd2fc72573a59a014cbcc0,工艺工程师，材料工程师,https://shortapis.com/xzpro/?target64=aHJAamZ0eC5jYw==,1,招满即止,民企,2026,"有五险一金, 各种补贴, 10k~18k",上海
"制造业,半导体",春招,0,沃德精密,大专,2026/04/07,http://mp.weixin.qq.com/s/N0PtERaVQOeJNYVhWp2icQ,数控技术员，检验技术员,https://app.mokahr.com/m/campus_apply/world-machining/36560,0,招满即止,民企,2027,"有五险一金,免费食宿,实习5k-7k,转正7k-9k,年终奖",东莞
快消,春招,0,桃李面包,"本科,硕士,博士",2026/04/07,https://mp.weixin.qq.com/s/V5ZSiUErgfaMpW02TtvWjg,工艺，生产，营销类，企名研发,https://mp.weixin.qq.com/s/V5ZSiUErgfaMpW02TtvWjg,0,招满即止,民企,2026,"提供五险一金, 节日福利, 专业的培训体系, 综合年薪8万-12万",全国
快消,春招,1,华润万家,"本科,硕士,博士",2026/04/06,https://mp.weixin.qq.com/s/0UvmaejTSAA_NgN3B0mfSA,智数管培生，职能管培生，营运管培生，人力资源管培生，效率治理管培生，流程共享管培生，线上业务管培生,https://wecruit.hotjob.cn/SU61500b282f9d2464de80bb56/mc/position/campus,0,招满即止,央国企,"2025, 2026","提供落户帮助,地方性住房补贴,央企编制,五险一金,10k-15k*14","全国, 深圳"
"保险,金融",春招,0,财信人寿,"本科,硕士,博士",2026/04/06,https://mp.weixin.qq.com/s/qLstGr4b8qbS9uYme4loSA,交易类岗位，保险类岗位，信托类岗位，投资类岗位，证券类岗位,https://www.hnchasing.com/,0,招满即止,央国企,2026,"湖南省属国企背景, 六险二金, 各种补贴, 10k~15k*14",长沙
金融,春招,0,财信金控,"本科,硕士,博士",2026/04/06,https://mp.weixin.qq.com/s/TAzLmozl1zK-7-y6vThxuA,交易类，保险类，信托类，投资类，证券类,https://www.hnchasing.com/,0,招满即止,央国企,2026,"湖南省属唯一省级金控平台, 提供六险二金及各类补贴, 往年总包约20w-30w, 解决长沙落户。",长沙
金融,春招,0,汇添富基金,"本科,硕士,博士",2026/04/06,https://mp.weixin.qq.com/s/wMHwUFWKLjnF4BK8jvoG3w,助理AI算法工程师，助理指数分析师，助理行业分析师，助理量化分析师，助理信息技术工程师，固定收益助理分析师,https://htffund.zhiye.com/campus,0,2026-05-10,民企,2027,"有六险二金, 极高年终奖, 餐饮补贴, 25k-35k*18-24",上海
新能源,春招,0,湖南能源集团,"本科,硕士,博士,专科",2026/04/06,https://mp.weixin.qq.com/s/seFGX5n7kftdLwotqeXnAw,技术类，管理类，销售类，生产操作类,https://xy.liepin.com/hnenergy/,0,2026-05-15,央国企,"2025, 2026","省属核心能源国企, 5年劳动合同保障, 五险一金及各项补贴, 预计总包10k-18k*14","湖南, 长沙"
车企,春招,0,神龙汽车,"本科,硕士",2026/04/06,https://mp.weixin.qq.com/s/_msF4e20UTi8HT2QLIVOUg,制造领域管培生，职能领域管培生，营销领域管培生，数字化领域管培生，商企项目领域管培生,https://dfmc.hotjob.cn/SU69cf6e3e4e30a370a49e26ae/mc/position/campus,1,招满即止,合资,2026,东风与Stellantis合资平台，提供五险一金及各类津贴，武汉地区月薪参考8k-13k。,武汉
"教育,航天航空",春招,0,北京翔宇集团,"本科,硕士,博士",2026/04/06,https://cauc.bysjy.com.cn/detail/online?id=3488722&menu_id=28135,机务教师，无人机教师，民航职业教师，航空物流教师,https://shortapis.com/xzpro/?target64=NTg0MDE5MTkwQHFxLmNvbQ==,1,招满即止,民企,"2025, 2026","硕士或本科+中级职称,五险一金,带薪寒暑假,提供住宿,10W~12W/年","咸宁, 武汉"
金融,春招,0,东方财富证券,"本科,硕士,博士",2026/04/06,https://mp.weixin.qq.com/s/c3iR29-RlRqa-lEe5ddS7Q,机构销售，研究员（行业/总量/金工方向）,https://app.mokahr.com/su/jvluta,0,招满即止,民企,2026,"有五险一金,学习津贴,行业竞争力薪资,18k~30k*14","上海, 北京, 深圳"
农业,春招,0,苏垦农发,"本科,硕士",2026/04/05,https://mp.weixin.qq.com/s/M-xBGOvnZ59ZwkeuLwyv7Q,研发专员，农业技术员，生产区技术员,http://221.226.102.109:8888/n/s/44b8fa40,0,2026-04-15,央国企,"2024, 2025, 2026","有五险一金, 各种补贴, 8k~12k*13","南京, 南通, 淮安, 盐城, 苏州, 江苏省"
咨询,春招,1,南富士 (P.M.L),"本科,硕士",2026/04/05,https://career.hit.edu.cn/zhxy-xszyfzpt/zpxx/zpgwxq?id=ODcxYzg1M2RkNmVjODk0NDdjZjhmZjRiNjMyZWNhZjA-,经营企划,https://shortapis.com/xzpro/?target64=cG1sQG0tZnVqaS5jbg==,0,2026-04-30,外企,"2025, 2026, 2027","专业不限, 包含日本工作机会, 7天集训包食宿交通, 9k-12k/月","上海, 日本"
媒体,春招,0,四川广播电视台,"本科,硕士,博士",2026/04/05,https://www.sctv.com/news/2033511744044081153,AIGC制作，IPTV版权运营，制片，项目经理，全媒体运营，大数据开发，短视频编辑，智屏产品运营，社交平台运营，首席产品经理，视觉设计师（UE设计师），三维灯光设计师，二维动画设计师，智屏营销与策划，派驻南充市记者，派驻巴中市记者，派驻广安市记者，派驻泸州市记者，派驻甘孜州记者，派驻自贡市记者，系统运维工程师，内江市记者站记者，凉山州记者站记者，广元市记者站记者，阿坝州记者站记者，剪辑包装（剪辑方向），剪辑包装（包装方向），数据运营（舆情方向），治理架构师（实验室方向），视觉设计师（三维建模师），人工智能应用开发工程师（多模态方向），人工智能应用开发工程师（智能体方向），人工智能应用开发工程师（大语言模型方向）,https://sv.sctv.com:9002/zp/40,0,2026-03-31,政府机关,2026,"事业单位编制, 完善的办公生活配套(食堂/健身房/团建), 覆盖全川及北京岗位, 8k-15k*13","内江, 凉山, 北京, 南充, 巴中, 广元, 广安, 成都, 泸州, 甘孜, 自贡, 阿坝"
制造业,日常实习,0,海信集团,"本科,硕士,博士",2026/04/05,https://mp.weixin.qq.com/s/GI4nBGn8wsDcyaPL6QUhRw,"技术类,芯片类,结构类,营销类,运营类,职能类,软件算法类,硬件研发类,暖通制冷类,光学及显示类,技术工艺类,供应链管理类,生产制造类,质量类",https://jobs.hisense.com/intern/jobs,1,招满即止,央国企,2027届,"提供实习补贴与大学生公寓, 表现优异可获校招直通卡, 涵盖研发/营销/职能等全类别岗位。","上海, 成都, 扬州, 杭州, 武汉, 江门, 深圳, 湖州, 西安, 贵阳, 青岛, 平度, 顺德, 黄岛"
电商,日常实习,0,字节跳动抖音研发团队,"本科,硕士,博士",2026/04/05,https://mp.weixin.qq.com/s/-rfBnZtpHNzPj1fluh3BIA,"算法实习生,后端实习生,客户端实习生,前端实习生,多媒体实习生,大数据实习生,大模型实习生",https://mp.weixin.qq.com/s/-rfBnZtpHNzPj1fluh3BIA,0,招满即止,民企,2027届,"字节跳动核心研发岗, 涵盖大模型与算法等前沿方向, 极高含金量与成长空间。","上海, 北京, 广州, 成都, 杭州, 深圳"
"建筑,房地产,交通运输",春招,0,济南城投,"本科,硕士,博士",2026/04/05,https://mp.weixin.qq.com/s/IpVh3F5p1Dpd7BqSxM2yHg,法务岗，管培生，运营部-品牌策划，运营部-平面设计，运营部-活动策划，工程管理，综合管理，企业管理岗，商业运营岗，工程招标岗，工程管理岗，工程造价岗，市场开发岗，建筑材料岗，文化宣传岗，物业专员岗，综合管理岗，设备管理岗，资产管理员，酒店经营岗，工程管理专员，生产运行岗位，施工现场管理员，水质净化厂安全管理岗，水质净化厂财务出纳岗,http://campus.51job.com/jnct2026,0,2026-04-16,央国企,2026,"有六险二金, 提供食宿, 济南落户, 10w~15w",济南
其它,春招,0,新疆烟草,"本科,硕士,博士",2026/04/05,http://www.tobacco.gov.cn/gjyc/zpxx/202604/6d07c01aa18643acb3672ac01baf5484.shtml,见附件招聘计划表,https://xjtobacco2026.zhaopin.com/,0,2026-04-12,央国企,"2025, 2026","极高稳定性, 解决编制, 六险二金, 各种补贴, 15k~20k*14","新疆, 乌鲁木齐"
互联网,春招,0,亚信科技,"本科,硕士,博士",2026/04/05,https://mp.weixin.qq.com/s/ny5Mvu2s-pUtcjzz94zBYA,Java开发，UI/UE，Web前端开发，产品运营，售前咨询，数据分析，数据挖掘，算法开发，部门助理，大数据开发，数据库开发，测试工程师，运维工程师，产品经理助理，人工智能开发，项目管理助理,http://campus.51job.com/asiainfo/,0,招满即止,民企,"2026, 2027","港股上市老牌大厂, 16城可选, 覆盖研发/测试/职能全品类岗位, 10k-20k*14","上海, 兰州, 北京, 南京, 天津, 广州, 昆明, 杭州, 武汉, 沈阳, 济南, 西安, 郑州, 长春, 长沙, 石家庄"
"制造业,新能源",春招,0,奥特维,"本科,硕士,博士",2026/04/05,http://mp.weixin.qq.com/s?__biz=MzIzMzk1NTQ5MA%3D%3D&idx=1&mid=2247484824&sn=77aa235e5aa29dddd889514b95824cd8,海外技术类,http://mp.weixin.qq.com/s?__biz=MzIzMzk1NTQ5MA%3D%3D&idx=1&mid=2247484824&sn=77aa235e5aa29dddd889514b95824cd8,0,招满即止,民企,2026,提供海外派驻津贴与食宿支持，专注光伏锂电智能装备领域，12k~22k*14,"无锡, 海外"
,春招,0,云投集团,"本科,硕士,博士",2026/04/05,https://mp.weixin.qq.com/s/QsF5gej8iOmJAyArPruLWw,云投集团下属12家二级用人单位岗位,https://c.exam-sp.com/t/cnyigzp,0,2026-04-09,股份/集体/混合其他性质,"2024, 2025, 2026","云南省最大国企, 168个HC, 往届生可投, 包含六险二金及各类补贴, 薪资约8k-15k",昆明
教育,春招,0,山东外事职业大学,"硕士,博士",2026/04/05,https://cauc.bysjy.com.cn/detail/online?id=3489678&menu_id=28135,开发教师，会计专任教师，学前专任教师，德语专任教师，思政专任教师，护理专任教师，法语专任教师，金融专任教师，小语种专任教师，国际贸易专任教师，外事实务专任教师，市场营销专任教师，电子商务专任教师，能源工程专任教师，建筑装饰工程专任教师，智能机电技术专任教师，现代物流管理专任教师，虚拟现实技术专任教师，软件工程技术专任教师，医养照护与管理专任教师，大数据与云计算专任教师，物联网技术应用专任教师，计算机应用工程专任教师，人工智能工程技术专任教师，电子信息工程技术专任教师，婴幼儿托育服务与管理专任教师,https://shortapis.com/xzpro/?target64=c2R3c3JzY0AxNjMuY29t,1,招满即止,民企,"2025, 2026","硕士享讲师待遇,博士享副教授待遇,五险一金,提供住房,协助子女入学,10k-20k/月","威海, 济南"
教育,春招,0,武隆区教育事业单位,"本科,硕士,博士",2026/04/05,https://rlsbj.cq.gov.cn/zwxx_182/sydw/sydwgkzp2026/202604/t20260401_15584580.html,教育事业单位工作人员,http://rlsbj.cq.gov.cn/,0,2026-04-13,事业单位,"2024, 2025, 2026","解决事业编制, 享受国家事业单位工资福利待遇, 8k~12k*13",重庆
交通运输,春招,0,南航科技,"本科,硕士,博士",2026/04/05,https://cauc.bysjy.com.cn/detail/online?id=3488262&menu_id=28135,数据分析师，测试工程师，供应链管理岗，综合管理岗（人力），综合管理岗（企划），综合管理岗（财务），研发工程师（智能交互Unity3d方向），研发工程师（硬件接口），视景系统工程师（引擎），研发工程师（航电仿真方向），研发工程师（飞行仿真方向），运动系统工程师（电气方向），飞行训练设备售后技术支持岗，飞行模拟机生产管理岗（生产计划方向）,https://f.wps.cn/g/Z4jjCD9I/,0,招满即止,央国企,"2024, 2025, 2026","解决珠海落户,按最高基数缴纳七险二金,最高27万人才补贴,8k-14k/月",珠海市
"研究所,航天航空",春招,0,中国航天科技集团卫星应用创新研究院,"硕士,博士",2026/04/05,http://mp.weixin.qq.com/s?__biz=MjM5MDIxNjczNA%3D%3D&idx=1&mid=2652898910&scene=0&sn=1149618db07c626964bd11942d53e0d5,5G高层协议栈开发，产品与系统测试，数智技术研发岗，算法开发工程师，通信算法工程师，具身智能算法开发，智能无人系统设计，基带与射频后端设计，天线与射频前端设计，应用系统总体设计师,https://shortapis.com/xzpro/?target64=d3hyY0BjaGluYXNhdGNvbS5jb20=,0,2026-04-30,央国企,2026,"解决北京户口, 六险二金, 硕士及以上学历要求, 25k-45k*14",北京
教育,春招,0,湛江科技学院,"本科,硕士,博士",2026/04/05,https://cauc.bysjy.com.cn/detail/online?id=3456967&menu_id=28135,专任教师，优秀硕士，银龄教师，高层次人才，行政教辅岗位,https://shortapis.com/xzpro/?target64=Y2p4eWpwQHZpcC4xNjMuY29t,0,招满即止,民企,2026,提供人才公寓及餐补，硕士年薪9-20万，博士/教授最高50万+30万安家费。,湛江
"建筑,制造业",春招,0,广东建工机械,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/mrESjpSdjVF0xCZPkA-Qiw,见网申系统,https://mp.weixin.qq.com/s/mrESjpSdjVF0xCZPkA-Qiw,0,招满即止,央国企,2026,"广东省属国企, 解决落户, 六险二金, 各种补贴, 10k~15k*14","佛山, 广州"
军工,春招,0,安徽军工集团,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/3hOvsjuSDpZ4oXNiiUYDaA,技术研发类，技能人才类，生产管理类，职能管理类,https://mp.weixin.qq.com/s/3hOvsjuSDpZ4oXNiiUYDaA,0,招满即止,央国企,2026,"有五险一金,提供单身公寓或食宿补贴,享受合肥/安徽人才引进政策,年薪10万-25万","合肥, 宣城, 蚌埠"
"制造业,半导体,新能源,研究所",春招,0,中国有研,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/z7D3kW7L8VYMRFN_Y6Rw7w,财务专员，销售经理，工艺工程师，测试工程师，生产工艺员，电气工程师，研发工程师，质量工程师,https://mp.weixin.qq.com/s/z7D3kW7L8VYMRFN_Y6Rw7w,0,招满即止,央国企,2026,"解决北京户口, 六险二金, 各种补贴, 15k~25k*14","上海, 北京, 合肥, 四川, 广东, 廊坊, 德州, 忻州, 江西, 泰国, 滨州, 福建, 英国, 荣成, 重庆, 青岛, 乐陵"
制造业,春招,0,哈电集团,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/zMjtLuyoqVxmssas896JJg,力学类，化学类，法学类，核科学类，计算机类，仪器仪表类，企业管理类，土木工程类，安全工程类，应用数学类，应用物理类，控制工程类，新闻传播类，机械工程类，水利水电类，环境工程类，电气工程类，能源动力类，财务管理类，金属材料类，船舶与海洋工程类,https://mp.weixin.qq.com/s/zMjtLuyoqVxmssas896JJg,0,招满即止,央国企,2026,"提供安家费, 购房补贴, 人才公寓, 七险二金, 各种补贴, 10k~18k*14",哈尔滨
车企,春招,0,吉利汽车集团,"本科,硕士",2026/04/04,https://mp.weixin.qq.com/s/N82JHaLXcEcr9krnb1ldVg,国际管培生,https://app.mokahr.com/su/c3COW,0,招满即止,民企,2026,"核心岗位历练, 高管亲自带教, 海外外派津贴, 15k-25k*14-16","全国, 海外"
"建筑,房地产",春招,0,海南建投,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/ilEypxSz2RAG56ua2bS_fQ,工程技术岗,https://shortapis.com/xzpro/?target64=aG5jaWdockAxMjYuY29t,0,2026-04-30,央国企,2026,"有五险一金,人才住房补贴,员工食堂,定期体检,6k~9k*13",海南
"金融,银行",暑期实习,0,平安理财,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/ZTwz2KjMLgGzqQeAfj4ulg,暑期实习生,https://mp.weixin.qq.com/s/ZTwz2KjMLgGzqQeAfj4ulg,0,招满即止,民企,2027届,针对2027届同学，平安集团理财子公司核心岗位，暑期实习含转正机会。,深圳
互联网,暑期实习,0,卡尔动力,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/yDCEO0TqqGUoAfXUGEhu5w,"自动驾驶预测算法实习生,自动驾驶感知算法实习生,自动驾驶定位算法实习生,自动驾驶控制算法实习生,自动驾驶决策规划算法实习生,决策规划算法工程师,仿真算法工程师,感知算法工程师,AEB算法工程师,MCU开发工程师,预测算法工程师,系统测试开发工程师",https://shortapis.com/xzpro/?target64=a2FyZ29ib3Qtemhhb3BpbkBrYXJnb2JvdC5haQ==,1,招满即止,民企,"2026届, 2027届","极具竞争力薪酬, 实习可转正, 滴滴背景自动驾驶货运核心组.",北京
金融,暑期实习,0,皓兴科技,"硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/2-y_lg1v1VuwhYQ4cwQ82g,量化研究员,https://shortapis.com/xzpro/?target64=aHJAaGFveGluZ3RyYWRlLmNvbQ==,0,招满即止,民企,2026届,"600-700/天+丰厚年终, 需实习3个月(3天/周), 2026届量化核心岗表现优异可直接转正。",上海
互联网,日常实习,0,百度Apollo探路星,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/EVDv-Yj5ZB1IlRyPpoctcA,自动驾驶顶尖技术实习生,https://talent.baidu.com/jobs/detail/INTERN/c5529f5f-cf3a-4237-80fe-b9fcd6340921,0,招满即止,民企,2027届,"表现优异直通百度AIDU计划(最高端校招项目), 顶配计算资源与实车验证, 百度自动驾驶IDG核心组。","上海, 北京, 深圳"
半导体,日常实习,0,奥比中光,"硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/hKsHDtQwTWb2tTAIE7aZAw,视觉SLAM实习生,https://shortapis.com/xzpro/?target64=YW5xaWxhQG9yYmJlYy5jb20=,1,招满即止,民企,2027届,"薪资未提及, 需实习6个月+, 3D视觉领军企业核心算法岗, 表现优异可获校招提前批Offer。",深圳
新能源,春招,0,隆基绿能,"本科,硕士,博士",2026/04/04,http://mp.weixin.qq.com/s/eeHm4mFRMHy9131mvsRqPw,制造技术类，研发技术类，职能支持类，营销市场类,https://wecruit.hotjob.cn/SU649d30920dcad4644b43e39b/mc/position/campus,0,招满即止,民企,2026,"全球光伏龙头, 六险一金, 餐饮补贴, 10k-20k*14",全国
"车企,制造业",春招,0,法雷奥,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/nVgAHvFtUnpkoS0WGg4gZg,EHS类，工艺类，研发类，质量类，职能类别,https://valeo.gllue.com/portal/campusposition/list?gql=record_type__s%3DCampus%2520Recruitment%26joborder__employmentType__s%3DFTE%26joborder__jobStatus__s%3DLive&page=1,0,招满即止,外企,2026,"具有竞争力的薪资,五险一金及额外商业保险,覆盖研发/质量/工艺等30+岗位,12k~18k*13",全国
金融,春招,1,中国工商银行广西分行,"本科,硕士,博士",2026/04/04,https://cauc.bysjy.com.cn/detail/online?id=3489033&menu_id=28135,专业英才，客户经理，客服经理，科技菁英，星辰管培生,https://job.icbc.com.cn/pc/index.html#/main/school/home/post,0,招满即止,央国企,"2025, 2026","有六险二金,各类补贴,提供管培生培养计划,5k-8k*14","北海, 南宁, 崇左, 来宾, 柳州, 桂林, 梧州, 河池, 百色, 贵港, 贺州, 防城港"
,春招,0,济南农发集团,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/A73B6fmnwDsMd8tqctTuCg,综合专员，产权交易业务专员，金农服务业务专员,https://shortapis.com/xzpro/?target64=am5uZmp0aHJAMTYzLmNvbQ==,0,2026-04-09,股份/集体/混合其他性质,"2024, 2025, 2026","济南国企一级子公司, 择业期可投, 五险一金, 各种补贴, 6k~9k*13",济南
其它,春招,0,河南烟草,"本科,硕士,博士",2026/04/04,http://www.tobacco.gov.cn/gjyc/zpxx/202604/e5fcb57cdd134ed38c570ae57411bbbd.shtml,卷烟营销，技术研发，综合管理，财务管理，烟叶生产经营，烟草专卖市场管理,https://hnycbaoming2026.hqrczp.cn/,0,2026-04-11,央国企,"2025, 2026","正式劳动合同, 六险二金, 各种补贴, 年薪15万-25万",河南全省
互联网,暑期实习,0,海康威视,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/7odnX3hV34iVaMFsDbAmYQ,超新星实习生,https://mp.weixin.qq.com/s/7odnX3hV34iVaMFsDbAmYQ,0,招满即止,民企,2027届,"转正率极高, 2027届提前锁定校招HC的旗舰项目, 涵盖算法、软件、硬件等核心部门。","全国, 杭州"
"半导体,人工智能",暑期实习,0,曦望,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/9P_mSw6uC5NuIFmesWPllg?click_id=10&scene=1,"数字验证工程师,数字芯片设计工程师,DFT工程师,AI Infra推理引擎工程师,AI 编译器开发工程师,GPU系统软件研发工程师,供应链采购专员,供应链运营专员",https://jobs.sunrise-ai.com/campus,0,招满即止,民企,2026届、2027届,提供转正机会，顶级带教直接对话架构师，获近40亿投资背景，涵盖芯片及AI Infra核心研发岗。,"上海, 北京, 成都, 杭州, 深圳, 香港"
"新能源,医药生物",春招,0,蓝晶微生物,"本科,硕士,博士",2026/04/04,https://mp.weixin.qq.com/s/M2xjv7mrWqK4aZ51eEjlGQ?scene=1,校园精英,https://mp.weixin.qq.com/s/M2xjv7mrWqK4aZ51eEjlGQ?scene=1,0,招满即止,民企,2026,合成生物学独角兽企业，承接国家重点研发专项，提供极具竞争力的薪资与期权激励，18k-35k*14,"上海, 北京, 深圳, 盐城"
